accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,bearing
-0.6024250145053387,0.05779234617449354,-0.15697739744175693,0.0,0.0,0.0,0.0,0.0,0.0,2.5145874058865196
-0.44863662114479164,-0.06970360998357425,-0.2681029865846433,0.0,0.0,0.0,0.0,0.0,0.0,0.45746108829863474
-0.37802884773848017,0.11465117898099825,0.04932463423849076,0.0,0.0,0.0,0.0,0.0,0.0,5.072150438493434
-0.2654598389704975,0.013409461592040484,-0.041794569493408505,0.0,0.0,0.0,0.0,0.0,0.0,4.172047146972952
-0.2873677919475397,-0.03273120089121974,0.06366711779417772,0.0,0.0,0.0,0.0,0.0,0.0,5.009599857973324
-0.4131636965838157,-0.12035939597717804,-0.09448522999787434,0.0,0.0,0.0,0.0,0.0,0.0,4.5555367491435
-0.3570537255847882,0.14042342938331284,0.05249463339671158,0.0,0.0,0.0,0.0,0.0,0.0,2.7539936167187453
-0.2205715946274897,-0.030008013196257517,-0.0029628639858781244,0.0,0.0,0.0,0.0,0.0,0.0,1.935010305485534
-0.28358935027169463,-0.030864671983304944,0.012450680669380793,0.0,0.0,0.0,0.0,0.0,0.0,2.9912231001265788
0.24280507304798402,-0.07263239904445527,-0.05092030135027131,0.0,0.0,0.0,0.0,0.0,0.0,1.9260650163924222
-0.03149190006486801,0.03640151071652133,-0.07903407670654133,0.0,0.0,0.0,0.0,0.0,0.0,3.737961702440509
-0.03470594985769796,0.1630215632568644,0.17099820848791275,0.0,0.0,0.0,0.0,0.0,0.0,1.484172844238942
-0.04394717555316245,0.022205690415310075,-0.10707616534177965,0.0,0.0,0.0,0.0,0.0,0.0,3.682802287224077
0.18661771561438287,0.08703106610899737,-0.02567397599573761,0.0,0.0,0.0,0.0,0.0,0.0,1.7911375283400697
0.07266698236899008,-0.07431180512644553,-0.023170821464310827,0.0,0.0,0.0,0.0,0.0,0.0,1.3186869658362
0.21856278689928785,-0.21027403542445455,-0.05847806546779345,0.0,0.0,0.0,0.0,0.0,0.0,5.034978068419302
0.21264702261671972,-0.029920451988960074,-0.03343944399739848,0.0,0.0,0.0,0.0,0.0,0.0,2.7754612328347577
0.402695553440536,-0.050219766110141444,0.0727297146734676,0.0,0.0,0.0,0.0,0.0,0.0,2.7204180264068962
0.28883902292836394,0.17720523424652757,-0.07078024411886953,0.0,0.0,0.0,0.0,0.0,0.0,1.2904657925698255
0.43137711792197864,-0.12643916125293642,0.07635864756782182,0.0,0.0,0.0,0.0,0.0,0.0,4.50844622405744
0.3919970942492961,-0.132862473271226,-0.0559301052146174,0.0,0.0,0.0,0.0,0.0,0.0,5.154220510324939
0.48788245041019573,-0.0581615647089332,-0.033017981605730766,0.0,0.0,0.0,0.0,0.0,0.0,4.576727983754764
0.4098995536831386,-0.2778825194733972,0.09499355223601924,0.0,0.0,0.0,0.0,0.0,0.0,0.5425186130717862
0.46948435194913873,-0.01475212256017376,-0.0400586876406367,0.0,0.0,0.0,0.0,0.0,0.0,2.937604156524223
0.5441214218632164,0.03389454366131849,0.09146135728697151,0.0,0.0,0.0,0.0,0.0,0.0,4.1976467409598275
0.41343564185714876,0.04182669500508985,-0.09260155181696408,0.0,0.0,0.0,0.0,0.0,0.0,5.128000984500963
0.6274514536447302,0.09109230088223956,-0.1679857182845913,0.0,0.0,0.0,0.0,0.0,0.0,5.032461035140885
0.49838991936692567,-0.010421823648932509,-0.043807346415132266,0.0,0.0,0.0,0.0,0.0,0.0,2.814053393147521
0.7531984647862542,0.034294292907928244,-0.0009939461173537347,0.0,0.0,0.0,0.0,0.0,0.0,3.018595482779893
0.7970089580406972,-0.016195583274621818,-0.019928018125836514,0.0,0.0,0.0,0.0,0.0,0.0,2.604172211408735
0.6146167971252116,0.042159674593709236,0.07528744622939366,0.0,0.0,0.0,0.0,0.0,0.0,2.2857489957933037
